mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RF__max_depth,param_RF__max_features,param_RF__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.016651439666748046,0.0006615604501178982,0.0026098966598510744,0.0007071051809582397,7,15,10,"{'RF__max_depth': 7, 'RF__max_features': 15, 'RF__n_estimators': 10}",0.6625,0.6875,0.6125,0.675,0.8,0.7625,0.7375,0.75,0.775,0.6625,0.7125,0.057554322166106696,63
0.038153767585754395,0.001589593741293585,0.003484034538269043,0.00017442112241851227,7,15,25,"{'RF__max_depth': 7, 'RF__max_features': 15, 'RF__n_estimators': 25}",0.7,0.6875,0.675,0.675,0.8125,0.825,0.825,0.7625,0.7625,0.675,0.74,0.061441028637222506,6
0.07175629138946533,0.0008466439797433821,0.005291509628295899,0.00019629463071992696,7,15,50,"{'RF__max_depth': 7, 'RF__max_features': 15, 'RF__n_estimators': 50}",0.6875,0.7,0.7125,0.6875,0.75,0.825,0.7875,0.7875,0.775,0.675,0.73875,0.050140427800328936,9
0.20845484733581543,0.001969571396993793,0.012766194343566895,0.0005604687349555455,7,15,150,"{'RF__max_depth': 7, 'RF__max_features': 15, 'RF__n_estimators': 150}",0.675,0.7125,0.675,0.7125,0.7375,0.825,0.8375,0.775,0.775,0.675,0.74,0.05777110004145669,6
0.006806182861328125,0.00020971368691541527,0.0017275571823120116,5.4908523438839965e-05,7,20,3,"{'RF__max_depth': 7, 'RF__max_features': 20, 'RF__n_estimators': 3}",0.65,0.6625,0.6,0.6,0.7375,0.725,0.7375,0.7125,0.7,0.675,0.68,0.04911720676097127,112
0.009842944145202637,0.0004699756239900103,0.0018810510635375976,6.0980933847725754e-05,7,20,5,"{'RF__max_depth': 7, 'RF__max_features': 20, 'RF__n_estimators': 5}",0.6125,0.7375,0.6375,0.6625,0.75,0.7625,0.7625,0.7625,0.8125,0.7,0.72,0.061032778078668505,50
0.018148517608642577,0.0011956848303244312,0.0024201631546020507,0.00021045062121988637,7,20,10,"{'RF__max_depth': 7, 'RF__max_features': 20, 'RF__n_estimators': 10}",0.65,0.725,0.625,0.675,0.75,0.75,0.7875,0.775,0.8125,0.7125,0.7262500000000001,0.05794663493249629,34
0.04040706157684326,0.0006459712757785844,0.003545403480529785,0.0003110746207539841,7,20,25,"{'RF__max_depth': 7, 'RF__max_features': 20, 'RF__n_estimators': 25}",0.675,0.7,0.6375,0.7125,0.7875,0.7625,0.85,0.775,0.8,0.7,0.74,0.06194755846681934,6
0.07773990631103515,0.001194115633538096,0.005245327949523926,0.00021856748701701103,7,20,50,"{'RF__max_depth': 7, 'RF__max_features': 20, 'RF__n_estimators': 50}",0.675,0.7125,0.65,0.6875,0.8,0.7875,0.825,0.7625,0.8,0.725,0.7424999999999999,0.057608593109014554,3
0.2255387306213379,0.0015045496761850877,0.012955737113952637,0.0011346018094366723,7,20,150,"{'RF__max_depth': 7, 'RF__max_features': 20, 'RF__n_estimators': 150}",0.675,0.7,0.6625,0.675,0.775,0.7875,0.8125,0.75,0.7875,0.7125,0.73375,0.05245533814589321,17
